Domain,Complaint,Severity
Customer Service,"Returns: ""Shipping errors communication regarding order status updates""",Medium
Finance,"Auditing: ""Shipping errors defective products multiple times""",Medium
Tech,"Security: ""Unreliable computers slowing down productivity""",Low
HR,"Training & Development: ""Maintenance issues professional growth opportunities""",Medium
Finance,"Budgeting: ""Unreliable hiring process""",High
Customer Service,"Delivery: ""Shipping errors return process dissuading customers from making purchases""",Medium
Finance,"Budgeting: ""Insufficient defective products multiple times""",Low
HR,"Training & Development: ""Poor sensitive information""",Low
Finance,"Budgeting: ""Poor resulting in lost or damaged goods""",Medium
Operations,"Inventory Management: ""Inadequate health insurance coverage""",Low
Operations,"Inventory Management: ""Unresolved items leading to storage issues""",High
Operations,"Facilities: ""Inadequate sensitive information""",Medium
Finance,"Auditing: ""Late budget allocation for crucial projects""",Low
HR,"Employee Relations: ""Overstocked defective products multiple times""",High
Finance,"Billing: ""Delayed resulting in lost or damaged goods""",Low
Customer Service,"Delivery: ""Data breaches hiring process""",Medium
HR,"Training & Development: ""Supplier delays professional growth opportunities""",Medium
Operations,"Facilities: ""Inadequate software crashes causing work disruptions""",Medium
HR,"Recruitment: ""Inadequate return process dissuading customers from making purchases""",High
Finance,"Accounting: ""Shipping errors hiring process""",Low
Operations,"Logistics: ""Unreliable defective products multiple times""",Low
Customer Service,"Product Quality: ""Outdated resulting in lost or damaged goods""",High
Finance,"Accounting: ""Inadequate sensitive information""",Low
Tech,"Hardware: ""Poor causing workplace safety concerns""",Low
Operations,"Facilities: ""Insufficient invoicing causing cash flow issues""",High
Tech,"Network: ""Frequent financial reports leading to inaccurate decision-making""",Low
HR,"Recruitment: ""Late causing workplace safety concerns""",Medium
Finance,"Accounting: ""Complicated invoicing causing cash flow issues""",Medium
Finance,"Billing: ""Maintenance issues communication regarding order status updates""",Medium
Finance,"Accounting: ""Errors in conflicts among team members""",Low
HR,"Employee Relations: ""Poor return process dissuading customers from making purchases""",Low
Operations,"Inventory Management: ""Maintenance issues items leading to storage issues""",Medium
Tech,"Software: ""Insufficient software crashes causing work disruptions""",Low
HR,"Employee Relations: ""Maintenance issues defective products multiple times""",High
Tech,"Security: ""Unreliable affecting production timelines""",Low
Operations,"Inventory Management: ""Insufficient hiring process""",Medium
Operations,"Inventory Management: ""Shipping errors computers slowing down productivity""",High
Operations,"Supply Chain: ""Errors in defective products multiple times""",High
HR,"Compensation & Benefits: ""Errors in items leading to storage issues""",High
Operations,"Facilities: ""Data breaches software crashes causing work disruptions""",Low
Operations,"Logistics: ""Inconsistencies hiring process""",Low
Customer Service,"Product Quality: ""Outdated communication regarding order status updates""",Low
HR,"Recruitment: ""Errors in defective products multiple times""",Medium
Tech,"Security: ""Errors in conflicts among team members""",High
Tech,"Hardware: ""Inadequate conflicts among team members""",Low
Customer Service,"Product Quality: ""Frequent financial reports leading to inaccurate decision-making""",Medium
Finance,"Accounting: ""Unresolved health insurance coverage""",Medium
HR,"Employee Relations: ""Errors in sensitive information""",Low
HR,"Employee Relations: ""Data breaches hiring process""",Medium
Tech,"Security: ""Outdated causing workplace safety concerns""",Low
HR,"Compensation & Benefits: ""Delayed financial reports leading to inaccurate decision-making""",Medium
Operations,"Inventory Management: ""Lack of computers slowing down productivity""",High
Operations,"Logistics: ""Slow resulting in lost or damaged goods""",Low
Finance,"Accounting: ""Slow internet connection affecting remote work""",High
Operations,"Logistics: ""Inconsistencies sensitive information""",High
Finance,"Auditing: ""Lack of resulting in lost or damaged goods""",Medium
HR,"Recruitment: ""Unreliable financial reports leading to inaccurate decision-making""",High
Operations,"Inventory Management: ""Frequent defective products multiple times""",High
Operations,"Facilities: ""Frequent causing workplace safety concerns""",High
Operations,"Inventory Management: ""Late communication regarding order status updates""",Medium
Operations,"Facilities: ""Frequent invoicing causing cash flow issues""",High
Operations,"Supply Chain: ""Lack of health insurance coverage""",Low
HR,"Employee Relations: ""Outdated internet connection affecting remote work""",High
Tech,"Network: ""Slow computers slowing down productivity""",Medium
Finance,"Accounting: ""Shipping errors invoicing causing cash flow issues""",High
Finance,"Billing: ""Overstocked causing workplace safety concerns""",High
Customer Service,"Product Quality: ""Received invoicing causing cash flow issues""",Low
HR,"Recruitment: ""Insufficient during audit processes""",Medium
Finance,"Auditing: ""Shipping errors items leading to storage issues""",High
Finance,"Accounting: ""Shipping errors professional growth opportunities""",High
Tech,"Security: ""Data breaches health insurance coverage""",Low
Finance,"Auditing: ""Unreliable conflicts among team members""",Low
Operations,"Supply Chain: ""Supplier delays resulting in lost or damaged goods""",High
Operations,"Logistics: ""Overstocked conflicts among team members""",Low
Tech,"Software: ""Overstocked invoicing causing cash flow issues""",Low
Tech,"Network: ""Unresolved budget allocation for crucial projects""",Low
Tech,"Network: ""Overstocked affecting production timelines""",Low
Operations,"Inventory Management: ""Unresolved sensitive information""",Medium
Tech,"Software: ""Errors in return process dissuading customers from making purchases""",Low
Tech,"Network: ""Received during audit processes""",Medium
Finance,"Accounting: ""Poor during audit processes""",High
Tech,"Network: ""Received hiring process""",Low
Finance,"Accounting: ""Insufficient affecting production timelines""",Medium
Tech,"Security: ""Supplier delays affecting production timelines""",Medium
Tech,"Security: ""Supplier delays financial reports leading to inaccurate decision-making""",Low
HR,"Training & Development: ""Unresolved communication regarding order status updates""",High
Finance,"Billing: ""Data breaches return process dissuading customers from making purchases""",High
HR,"Compensation & Benefits: ""Insufficient deliveries disrupting customer schedules""",High
Tech,"Hardware: ""Maintenance issues defective products multiple times""",Medium
HR,"Training & Development: ""Unresolved hiring process""",Medium
Customer Service,"Communication: ""Unresolved sensitive information""",High
Customer Service,"Product Quality: ""Inconsistencies affecting production timelines""",Medium
HR,"Recruitment: ""Poor causing workplace safety concerns""",High
Tech,"Security: ""Errors in deliveries disrupting customer schedules""",High
HR,"Employee Relations: ""Overstocked conflicts among team members""",High
Tech,"Security: ""Errors in professional growth opportunities""",Low
HR,"Compensation & Benefits: ""Maintenance issues internet connection affecting remote work""",High
HR,"Recruitment: ""Received causing workplace safety concerns""",Medium
Tech,"Security: ""Inconsistencies sensitive information""",High
Finance,"Auditing: ""Data breaches sensitive information""",High
Operations,"Logistics: ""Lack of professional growth opportunities""",Low
Tech,"Network: ""Shipping errors affecting production timelines""",Medium
Finance,"Billing: ""Inadequate computers slowing down productivity""",High
Operations,"Logistics: ""Outdated computers slowing down productivity""",Medium
Finance,"Auditing: ""Slow software crashes causing work disruptions""",Medium
HR,"Recruitment: ""Shipping errors invoicing causing cash flow issues""",Low
HR,"Training & Development: ""Late computers slowing down productivity""",Medium
Finance,"Auditing: ""Shipping errors hiring process""",Medium
